nameFirst,nameLast,tname
Ned,Hanlon,Brooklyn Robins
Charlie,Ebbets,Brooklyn Robins
Bill,McGunnigle,Brooklyn Robins
Bill,Dahlen,Brooklyn Robins
Patsy,Donovan,Brooklyn Robins
Wilbert,Robinson,Brooklyn Robins
Burleigh,Grimes,Brooklyn Robins
Casey,Stengel,Brooklyn Robins
Max,Carey,Brooklyn Robins
Ray,Blades,Brooklyn Robins
Clyde,Sukeforth,Brooklyn Robins
Burt,Shotton,Brooklyn Robins
Leo,Durocher,Brooklyn Robins
Walter,Alston,Brooklyn Robins
Chuck,Dressen,Brooklyn Robins
Billy,Barnie,Brooklyn Superbas
Ned,Hanlon,Brooklyn Superbas
Charlie,Ebbets,Brooklyn Superbas
Bill,McGunnigle,Brooklyn Superbas
Bill,Dahlen,Brooklyn Superbas
Patsy,Donovan,Brooklyn Superbas
Wilbert,Robinson,Brooklyn Superbas
Casey,Stengel,Brooklyn Superbas
Max,Carey,Brooklyn Superbas
Burleigh,Grimes,Brooklyn Superbas
Ray,Blades,Brooklyn Superbas
Clyde,Sukeforth,Brooklyn Superbas
Burt,Shotton,Brooklyn Superbas
Leo,Durocher,Brooklyn Superbas
Walter,Alston,Brooklyn Superbas
Chuck,Dressen,Brooklyn Superbas
John,Ganzel,Brooklyn Tip-Tops
Jack,Chapman,Buffalo Bisons
Larry,Schlafly,Buffalo Blues
Larry,Schlafly,Buffalo Buffeds
Bill,Rigney,California Angels
Lefty,Phillips,California Angels
Del,Rice,California Angels
Dick,Williams,California Angels
Dave,Garcia,California Angels
Jim,Fregosi,California Angels
Bobby,Winkles,California Angels
Norm,Sherry,California Angels
Whitey,Herzog,California Angels
Gene,Mauch,California Angels
John,McNamara,California Angels
Cookie,Rojas,California Angels
Moose,Stubing,California Angels
John,Wathan,California Angels
Doug,Rader,California Angels
Buck,Rodgers,California Angels
Joe,Maddon,California Angels
Marcel,Lachemann,California Angels
Tom,Loftus,Chicago Colts
Tom,Burns,Chicago Colts
Frank,Selee,Chicago Colts
Hank,O'Day,Chicago Colts
Johnny,Evers,Chicago Colts
George,Gibson,Chicago Colts
Joe,McCarthy,Chicago Colts
Bill,Killefer,Chicago Colts
Fred,Mitchell,Chicago Colts
Charlie,Grimm,Chicago Colts
Frankie,Frisch,Chicago Colts
Roy,Johnson,Chicago Colts
Jimmie,Wilson,Chicago Colts
Stan,Hack,Chicago Colts
Bob,Scheffing,Chicago Colts
Charlie,Metro,Chicago Colts
Lou,Boudreau,Chicago Colts
Vedie,Himsl,Chicago Colts
Harry,Craft,Chicago Colts
El,Tappe,Chicago Colts
Lou,Klein,Chicago Colts
Bob,Kennedy,Chicago Colts
Leo,Durocher,Chicago Colts
Whitey,Lockman,Chicago Colts
Jim,Marshall,Chicago Colts
Joey,Amalfitano,Chicago Colts
Herman,Franks,Chicago Colts
John,Vukovich,Chicago Colts
Gene,Michael,Chicago Colts
Charlie,Fox,Chicago Colts
Lee,Elia,Chicago Colts
Preston,Gomez,Chicago Colts
Jim,Frey,Chicago Colts
Joe,Altobelli,Chicago Colts
Jim,Essian,Chicago Colts
Don,Zimmer,Chicago Colts
Frank,Lucchesi,Chicago Colts
Jim,Lefebvre,Chicago Colts
Don,Baylor,Chicago Colts
Rene,Lachemann,Chicago Colts
Tom,Trebelhorn,Chicago Colts
Jim,Riggleman,Chicago Colts
Dusty,Baker,Chicago Colts
Mike,Quade,Chicago Colts
Bruce,Kimm,Chicago Colts
Lou,Piniella,Chicago Colts
Rich,Renteria,Chicago Colts
Dale,Sveum,Chicago Colts
Joe,Maddon,Chicago Colts
Tom,Loftus,Chicago Cubs
Tom,Burns,Chicago Cubs
Frank,Selee,Chicago Cubs
Hank,O'Day,Chicago Cubs
Johnny,Evers,Chicago Cubs
George,Gibson,Chicago Cubs
Joe,McCarthy,Chicago Cubs
Bill,Killefer,Chicago Cubs
Fred,Mitchell,Chicago Cubs
Charlie,Grimm,Chicago Cubs
Frankie,Frisch,Chicago Cubs
Roy,Johnson,Chicago Cubs
Jimmie,Wilson,Chicago Cubs
Stan,Hack,Chicago Cubs
Bob,Scheffing,Chicago Cubs
Charlie,Metro,Chicago Cubs
Lou,Boudreau,Chicago Cubs
Vedie,Himsl,Chicago Cubs
Harry,Craft,Chicago Cubs
El,Tappe,Chicago Cubs
Lou,Klein,Chicago Cubs
Bob,Kennedy,Chicago Cubs
Leo,Durocher,Chicago Cubs
Whitey,Lockman,Chicago Cubs
Jim,Marshall,Chicago Cubs
Joey,Amalfitano,Chicago Cubs
Herman,Franks,Chicago Cubs
Jim,Frey,Chicago Cubs
John,Vukovich,Chicago Cubs
Gene,Michael,Chicago Cubs
Charlie,Fox,Chicago Cubs
Lee,Elia,Chicago Cubs
Preston,Gomez,Chicago Cubs
Joe,Altobelli,Chicago Cubs
Jim,Essian,Chicago Cubs
Don,Zimmer,Chicago Cubs
Frank,Lucchesi,Chicago Cubs
Jim,Lefebvre,Chicago Cubs
Jim,Riggleman,Chicago Cubs
Don,Baylor,Chicago Cubs
Tom,Trebelhorn,Chicago Cubs
Dusty,Baker,Chicago Cubs
Rene,Lachemann,Chicago Cubs
Bruce,Kimm,Chicago Cubs
Lou,Piniella,Chicago Cubs
Rich,Renteria,Chicago Cubs
Mike,Quade,Chicago Cubs
Dale,Sveum,Chicago Cubs
Joe,Maddon,Chicago Cubs
Tom,Loftus,Chicago Orphans
Tom,Burns,Chicago Orphans
Frank,Selee,Chicago Orphans
Hank,O'Day,Chicago Orphans
Johnny,Evers,Chicago Orphans
George,Gibson,Chicago Orphans
Joe,McCarthy,Chicago Orphans
Bill,Killefer,Chicago Orphans
Fred,Mitchell,Chicago Orphans
Charlie,Grimm,Chicago Orphans
Frankie,Frisch,Chicago Orphans
Roy,Johnson,Chicago Orphans
Jimmie,Wilson,Chicago Orphans
Stan,Hack,Chicago Orphans
Bob,Scheffing,Chicago Orphans
Charlie,Metro,Chicago Orphans
Lou,Boudreau,Chicago Orphans
Vedie,Himsl,Chicago Orphans
Harry,Craft,Chicago Orphans
El,Tappe,Chicago Orphans
Lou,Klein,Chicago Orphans
Bob,Kennedy,Chicago Orphans
Leo,Durocher,Chicago Orphans
Whitey,Lockman,Chicago Orphans
Jim,Marshall,Chicago Orphans
Joey,Amalfitano,Chicago Orphans
Herman,Franks,Chicago Orphans
John,Vukovich,Chicago Orphans
Gene,Michael,Chicago Orphans
Charlie,Fox,Chicago Orphans
Lee,Elia,Chicago Orphans
Preston,Gomez,Chicago Orphans
Jim,Frey,Chicago Orphans
Joe,Altobelli,Chicago Orphans
Jim,Essian,Chicago Orphans
Don,Zimmer,Chicago Orphans
Frank,Lucchesi,Chicago Orphans
Jim,Lefebvre,Chicago Orphans
Jim,Riggleman,Chicago Orphans
Don,Baylor,Chicago Orphans
Rene,Lachemann,Chicago Orphans
Tom,Trebelhorn,Chicago Orphans
Dusty,Baker,Chicago Orphans
Mike,Quade,Chicago Orphans
Bruce,Kimm,Chicago Orphans
Lou,Piniella,Chicago Orphans
Rich,Renteria,Chicago Orphans
Dale,Sveum,Chicago Orphans
Joe,Maddon,Chicago Orphans
Jimmy,Callahan,Chicago White Sox
Hugh,Duffy,Chicago White Sox
Pants,Rowland,Chicago White Sox
Kid,Gleason,Chicago White Sox
Lena,Blackburne,Chicago White Sox
Johnny,Evers,Chicago White Sox
Ed,Walsh,Chicago White Sox
Lew,Fonseca,Chicago White Sox
Jimmy,Dykes,Chicago White Sox
Donie,Bush,Chicago White Sox
Ted,Lyons,Chicago White Sox
Jack,Onslow,Chicago White Sox
Marty,Marion,Chicago White Sox
Al,Lopez,Chicago White Sox
Red,Corriden,Chicago White Sox
Paul,Richards,Chicago White Sox
Bill,Adair,Chicago White Sox
Chuck,Tanner,Chicago White Sox
Don,Gutteridge,Chicago White Sox
Les,Moss,Chicago White Sox
Eddie,Stanky,Chicago White Sox
Bob,Lemon,Chicago White Sox
Larry,Doby,Chicago White Sox
Tony,LaRussa,Chicago White Sox
Doug,Rader,Chicago White Sox
Jim,Fregosi,Chicago White Sox
Gene,Lamont,Chicago White Sox
Jeff,Torborg,Chicago White Sox
Jerry,Manuel,Chicago White Sox
Terry,Bevington,Chicago White Sox
Ozzie,Guillen,Chicago White Sox
Robin,Ventura,Chicago White Sox
Don,Cooper,Chicago White Sox
Tom,Loftus,Chicago White Stockings
Tom,Burns,Chicago White Stockings
Frank,Selee,Chicago White Stockings
Hank,O'Day,Chicago White Stockings
Johnny,Evers,Chicago White Stockings
George,Gibson,Chicago White Stockings
Joe,McCarthy,Chicago White Stockings
Bill,Killefer,Chicago White Stockings
Fred,Mitchell,Chicago White Stockings
Charlie,Grimm,Chicago White Stockings
Frankie,Frisch,Chicago White Stockings
Roy,Johnson,Chicago White Stockings
Jimmie,Wilson,Chicago White Stockings
Stan,Hack,Chicago White Stockings
Bob,Scheffing,Chicago White Stockings
Charlie,Metro,Chicago White Stockings
Lou,Boudreau,Chicago White Stockings
Vedie,Himsl,Chicago White Stockings
Harry,Craft,Chicago White Stockings
El,Tappe,Chicago White Stockings
Lou,Klein,Chicago White Stockings
Bob,Kennedy,Chicago White Stockings
Leo,Durocher,Chicago White Stockings
Whitey,Lockman,Chicago White Stockings
Jim,Marshall,Chicago White Stockings
Joey,Amalfitano,Chicago White Stockings
Herman,Franks,Chicago White Stockings
John,Vukovich,Chicago White Stockings
Gene,Michael,Chicago White Stockings
Charlie,Fox,Chicago White Stockings
Lee,Elia,Chicago White Stockings
Preston,Gomez,Chicago White Stockings
Jim,Frey,Chicago White Stockings
Joe,Altobelli,Chicago White Stockings
Jim,Essian,Chicago White Stockings
Don,Zimmer,Chicago White Stockings
Frank,Lucchesi,Chicago White Stockings
Jim,Lefebvre,Chicago White Stockings
Don,Baylor,Chicago White Stockings
Rene,Lachemann,Chicago White Stockings
Tom,Trebelhorn,Chicago White Stockings
Jim,Riggleman,Chicago White Stockings
Dusty,Baker,Chicago White Stockings
Mike,Quade,Chicago White Stockings
Bruce,Kimm,Chicago White Stockings
Jimmy,Wood,Chicago White Stockings
Lou,Piniella,Chicago White Stockings
Rich,Renteria,Chicago White Stockings
Dale,Sveum,Chicago White Stockings
Joe,Maddon,Chicago White Stockings
Ed,Hengel,Chicago/Pittsburgh (Union League)
Gus,Schmelz,Cincinnati Red Stockings
Ollie,Caylor,Cincinnati Red Stockings
Tom,Loftus,Cincinnati Redlegs
Buck,Ewing,Cincinnati Redlegs
Hank,O'Day,Cincinnati Redlegs
Frank,Bancroft,Cincinnati Redlegs
Ned,Hanlon,Cincinnati Redlegs
Bid,McPhee,Cincinnati Redlegs
Clark,Griffith,Cincinnati Redlegs
Jack,Hendricks,Cincinnati Redlegs
Pat,Moran,Cincinnati Redlegs
Christy,Mathewson,Cincinnati Redlegs
Donie,Bush,Cincinnati Redlegs
Bobby,Wallace,Cincinnati Redlegs
Dan,Howley,Cincinnati Redlegs
Burt,Shotton,Cincinnati Redlegs
Chuck,Dressen,Cincinnati Redlegs
Bill,McKechnie,Cincinnati Redlegs
Hank,Gowdy,Cincinnati Redlegs
Bucky,Walters,Cincinnati Redlegs
Luke,Sewell,Cincinnati Redlegs
Johnny,Neun,Cincinnati Redlegs
Jimmy,Dykes,Cincinnati Redlegs
Birdie,Tebbetts,Cincinnati Redlegs
Earle,Brucker,Cincinnati Redlegs
Rogers,Hornsby,Cincinnati Redlegs
Buster,Mills,Cincinnati Redlegs
Dick,Sisler,Cincinnati Redlegs
Mayo,Smith,Cincinnati Redlegs
Fred,Hutchinson,Cincinnati Redlegs
Don,Heffner,Cincinnati Redlegs
Dave,Bristol,Cincinnati Redlegs
Sparky,Anderson,Cincinnati Redlegs
Vern,Rapp,Cincinnati Redlegs
John,McNamara,Cincinnati Redlegs
Russ,Nixon,Cincinnati Redlegs
Tony,Perez,Cincinnati Redlegs
Davey,Johnson,Cincinnati Redlegs
Tommy,Helms,Cincinnati Redlegs
Lou,Piniella,Cincinnati Redlegs
Pete,Rose,Cincinnati Redlegs
Ray,Knight,Cincinnati Redlegs
Bob,Boone,Cincinnati Redlegs
Jack,McKeon,Cincinnati Redlegs
Jerry,Narron,Cincinnati Redlegs
Dave,Miley,Cincinnati Redlegs
Dusty,Baker,Cincinnati Redlegs
